,expenses
255,13047.33
875,2690.11
44,6079.67
1303,37829.72
288,47896.79
270,1719.44
812,11013.71
621,40182.25
233,12333.83
220,5012.47
146,40720.55
1042,33475.82
247,1986.93
89,11082.58
613,6753.04
1187,13844.8
464,1632.04
1205,5116.5
690,2104.11
166,4830.63
850,37270.15
149,1842.52
879,6311.95
1291,34828.65
1244,1135.94
286,9432.93
897,2221.56
311,1737.38
339,8232.64
779,9869.81
50,2211.13
1107,10493.95
1268,1880.49
923,4320.41
898,1634.57
307,4151.03
1262,6770.19
1299,2710.83
282,4237.13
1183,9447.38
24,6203.9
449,4762.33
1109,8605.36
684,4766.02
1054,3353.47
22,1137.01
1163,2200.83
1220,4718.2
802,2103.08
824,12523.6
374,1391.53
1227,7162.01
794,7209.49
202,13012.21
432,5969.72
2,4449.46
122,2257.48
567,7256.72
830,13393.76
1055,10594.5
829,6117.49
329,9144.57
281,48549.18
1188,21771.34
176,6455.86
169,4827.9
489,10461.98
128,32734.19
1285,8534.67
1078,34672.15
343,13981.85
19,36837.47
101,3645.09
1068,14349.85
15,1837.24
647,8252.28
249,4040.56
793,21195.82
137,2045.69
765,11842.62
556,8334.59
410,1621.34
32,4687.8
1099,3227.12
457,11840.78
1012,36580.28
1161,5124.19
1290,7133.9
178,8823.28
667,40003.33
827,20773.63
340,18955.22
1131,3693.43
983,16796.41
328,47928.03
472,1744.47
632,3366.67
751,1906.36
809,3309.79
500,36197.7
1206,36910.61
748,8556.91
1069,10928.85
721,11264.54
241,5354.07
205,4337.74
365,9778.35
1140,9048.03
961,3353.28
740,8604.48
244,29523.17
530,48675.52
1133,9991.04
1332,11411.69
454,4686.39
1065,7045.5
708,6113.23
687,5438.75
1208,20296.86
260,11837.16
1037,39725.52
831,5266.37
887,5272.18
480,15555.19
1272,14478.33
1023,1711.03
1028,9850.43
919,5245.23
1044,11394.07
552,12957.12
443,28287.9
433,12638.2
712,8310.84
1025,2020.18
466,13224.69
650,9800.89
930,2927.06
267,14590.63
197,8516.83
190,12557.61
10,2721.32
1329,10325.21
1005,4433.39
388,3176.82
736,40419.02
152,6334.34
691,8068.19
1114,2396.1
272,7265.7
290,3172.02
284,9625.92
354,14133.04
862,12269.69
1248,1633.96
710,1727.54
18,10602.39
915,2473.33
212,3537.7
1018,12495.29
886,27218.44
173,5246.05
74,7726.85
1193,8671.19
1149,5979.73
541,3056.39
558,39983.43
188,6775.96
66,14235.07
885,19719.69
359,1607.51
861,7151.09
353,12404.88
217,2483.74
145,5138.26
1134,19673.34
842,36021.01
1246,9101.8
717,13112.6
985,7624.63
156,21223.68
237,4463.21
372,7639.42
662,5148.55
846,9872.7
975,16138.76
796,4266.17
390,10736.87
1254,4415.16
709,5469.01
289,25992.82
1052,9288.03
804,1815.88
1146,52590.83
807,2136.88
823,8219.2
659,14394.4
1086,10796.35
644,18806.15
1127,5836.52
870,8457.82
351,8932.08
525,11482.63
450,7512.27
108,2867.12
348,5478.04
1000,17361.77
3,21984.47
441,37079.37
258,11520.1
646,6123.57
1321,28101.33
424,8968.33
283,11879.1
634,9391.35
1084,15019.76
1213,10806.84
415,7345.73
1071,13974.46
309,7749.16
1310,6940.91
459,7682.67
1070,39871.7
1061,11554.22
242,35160.13
1047,44501.4
1075,4562.84
1200,6198.75
297,21978.68
393,9290.14
947,39047.29
1257,11305.93
837,11657.72
1287,5472.45
322,35491.64
696,29186.48
1286,3732.63
17,2395.17
602,11070.54
306,20177.67
497,8027.97
418,14418.28
758,5428.73
1318,19496.72
350,11830.61
52,23568.27
1221,6593.51
723,1263.25
425,9788.87
554,17878.9
1255,6474.01
439,2897.32
648,1712.23
65,1743.21
1152,40941.29
819,55135.4
1159,3989.84
157,15518.18
246,12648.7
977,2902.91
1173,6457.84
699,3500.61
1034,12950.07
1010,8269.04
938,2304.0
599,33471.97
1073,12096.65
171,8116.68
1014,5383.54
192,2137.65
1202,2055.32
491,24513.09
1331,10795.94
527,9861.03
155,6948.7
579,3206.49
373,36085.22
1233,11345.52
728,2217.6
675,7222.79
94,47291.06
534,13831.12
1001,34472.84
384,8302.54
34,51194.56
1024,8569.86
573,31620.0
549,45863.21
392,8964.06
29,38711.0
471,2203.47
574,13224.06
1241,49577.66
1153,5630.46
673,6185.32
707,10264.44
681,1242.26
531,14043.48
49,38709.18
631,1977.82
160,21348.71
791,1252.41
1074,13204.29
1048,3594.17
158,36950.26
641,32787.46
448,5910.94
232,1727.79
504,5974.38
184,7731.43
1097,1674.63
1264,10370.91
269,9282.48
154,7077.19
764,9095.07
946,7160.09
1124,40904.2
1319,7201.7
1132,20709.02
330,48517.56
83,11033.66
873,6849.03
167,6128.8
958,41034.22
349,1635.73
719,12231.61
98,22412.65
633,7173.36
1004,8627.54
929,6289.75
744,8827.21
597,5594.85
381,42303.69
422,39125.33
331,24393.62
20,13228.85
523,5397.62
163,5152.13
315,9722.77
899,2117.34
67,6389.38
0,16884.92
296,16297.85
338,41919.1
1154,11015.17
1027,21595.38
1315,11272.33
1170,17178.68
1110,11512.41
1117,36124.57
172,1694.8
321,24671.66
1274,17043.34
225,11987.17
924,6250.44
895,13063.88
383,5846.92
312,42124.52
276,2803.7
550,13390.56
785,6414.18
332,13429.04
724,10106.13
320,4894.75
1297,4340.44
458,10601.41
745,9910.36
848,2974.13
61,4504.66
578,9724.53
179,8538.29
371,12029.29
934,4673.39
685,11244.38
352,3554.2
314,34838.87
1003,21232.18
132,11163.57
865,6600.36
1106,8988.16
1330,12629.17
682,40103.89
1306,16115.3
112,4646.76
551,3972.92
462,15230.32
974,2322.62
394,9411.01
1031,44423.8
1184,18328.24
805,7731.86
86,43578.94
199,14901.52
1032,4137.52
638,20149.32
1072,1909.53
26,14451.84
600,1633.04
611,6571.54
468,23288.93
1046,7325.05
299,9249.5
1174,4433.92
639,12949.16
488,48885.14
28,2775.19
144,20745.99
308,11944.59
1064,5708.87
361,4751.07
836,4402.23
400,9264.8
590,11842.44
404,3260.2
1104,20420.6
971,4992.38
1263,7337.75
1333,10600.55
1281,24535.7
591,8428.07
509,11455.28
1094,11299.34
36,15612.19
658,26392.26
843,27533.91
705,5375.04
931,6238.3
577,58571.07
323,11566.3
193,12044.34
906,4846.92
104,5003.85
423,2727.4
840,1526.31
976,7804.16
936,32108.66
1259,10197.77
1040,20234.85
676,12485.8
1237,12224.35
718,10848.13
1239,3238.44
40,3046.06
168,2719.28
547,11538.42
1108,2904.09
1116,9222.4
333,11658.38
790,5662.23
1165,5227.99
847,2438.06
1326,7050.02
595,8823.99
1317,1163.46
953,38998.55
918,13041.92
1030,21677.28
226,2689.5
601,9174.14
434,4243.59
316,8835.26
1300,62592.87
484,9563.03
624,12129.61
1035,12094.48
106,2331.52
742,43254.42
259,33750.29
1015,12124.99
537,8825.09
1335,1629.83
1322,12981.35
1191,13725.47
6,8240.59
732,4234.93
1093,33907.55
494,17942.11
1313,36397.58
627,11326.71
852,42111.66
856,40974.16
689,34806.47
543,63770.43
1125,14254.61
467,12643.38
120,7740.34
369,3481.87
327,42760.5
792,2731.91
1081,4454.4
25,14001.13
960,2730.11
93,5729.01
1288,38344.57
670,4837.58
868,13129.6
97,10226.28
399,1631.67
1088,9748.91
1017,3987.93
1036,37484.45
347,8334.46
1252,16232.85
989,14571.89
451,4032.24
403,10269.46
617,23306.55
161,36149.48
1198,6393.6
521,3994.18
455,21797.0
380,15006.58
649,12430.95
679,10156.78
1066,8978.19
772,12797.21
845,45008.96
1136,7623.52
999,5267.82
243,7196.87
375,18033.97
777,7448.4
285,7742.11
1158,2459.72
313,8124.41
1199,4934.71
669,6500.24
1266,10704.47
264,20463.0
949,19933.46
553,11187.66
841,12323.94
849,10601.63
100,6186.13
478,1534.3
564,2801.26
96,12105.32
1276,2741.95
1128,14358.36
402,14692.67
900,8688.86
492,2196.47
941,9549.57
1020,8798.59
583,17626.24
920,13451.12
47,3556.92
734,14007.22
1295,1964.78
41,4949.76
522,9866.3
665,42560.43
878,6282.24
1210,5373.36
586,3861.21
714,2457.5
1123,18903.49
326,3561.89
894,13555.0
238,17352.68
1006,4438.26
475,28868.66
533,19214.71
37,2302.3
1053,25309.49
1002,1972.95
1135,11085.59
996,7418.52
111,11881.36
635,14410.93
364,3180.51
30,35585.58
274,2523.17
964,26467.1
1157,14426.07
735,9583.89
625,3736.46
560,9193.84
291,20277.81
1089,10577.09
148,10959.69
412,14455.64
336,12142.58
566,6373.56
438,12592.53
503,32548.34
605,9283.56
945,11674.13
643,4466.62
1189,13126.68
536,5972.38
46,3393.36
68,5920.1
563,9058.73
1337,29141.36
252,44260.75
1060,1981.58
694,3578.0
1197,5699.84
1139,36898.73
800,7046.72
257,5400.98
1118,38282.75
370,13415.04
1009,9957.72
221,10564.88
151,7789.64
131,13616.36
606,3558.62
956,41999.52
754,17128.43
1307,21472.48
1243,3171.61
620,3659.35
295,1704.57
892,10422.92
1224,6858.48
801,14313.85
198,9644.25
87,11073.18
231,14001.29
1155,7228.22
1062,48970.25
907,7633.72
134,2457.21
928,13470.8
1051,14394.56
944,12982.87
1038,2250.84
1279,4189.11
1162,18963.17
56,13607.37
677,46130.53
869,4391.65
1112,24180.93
60,8606.22
937,8965.8
1253,15828.82
680,2585.27
815,1877.93
1013,8765.25
762,19040.88
113,2404.73
215,7371.77
1219,7537.16
513,1256.3
1045,21880.82
529,1708.0
493,12574.05
501,6837.37
948,6358.78
1216,5415.66
445,7345.08
927,12032.33
825,16069.08
378,16455.71
966,23967.38
587,43943.88
603,16085.13
672,4399.73
385,1261.86
753,11833.78
447,11454.02
324,2866.09
1160,7727.25
382,20781.49
695,3201.25
838,6402.29
548,3213.62
1260,4544.23
594,5709.16
925,25333.33
1026,16450.89
516,27724.29
186,3981.98
1242,4296.27
1327,9377.9
143,18157.88
616,11658.12
303,4349.46
902,4661.29
688,26236.58
813,4428.89
73,11946.63
1196,33307.55
1029,6877.98
515,11362.76
1076,8551.35
4,3866.86
57,34303.17
1022,42211.14
1007,24915.22
940,1121.87
814,5584.31
319,4667.61
1080,11884.05
180,11735.88
532,12925.89
752,14210.54
678,12363.55
629,42983.46
429,18804.75
987,28340.19
5,3756.62
355,24603.05
408,6652.53
55,47496.49
1101,11253.42
59,5989.52
426,6555.07
208,13880.95
1247,6059.17
181,1631.82
395,7526.71
1119,5693.43
507,3077.1
1167,4529.48
917,35069.37
298,38746.36
731,10065.41
414,2134.9
833,11743.93
117,19107.78
828,39597.41
799,17904.53
1229,11938.26
592,2566.47
48,12629.9
213,5002.78
1275,10959.33
749,3062.51
107,3877.3
182,4005.42
954,20009.63
230,7443.64
795,18310.74
686,7729.65
1156,39722.75
1215,12890.06
589,5976.83
463,11165.42
863,5458.05
287,14256.19
844,10072.06
610,8547.69
1294,11931.13
53,37742.58
798,11848.14
618,34439.86
280,22331.57
1103,11363.28
194,1137.47
90,2026.97
1325,13143.34
342,13217.09
1270,3292.53
716,9566.99
1143,6338.08
474,25382.3
234,6710.19
860,46113.51
1217,4058.12
711,10107.22
789,13457.96
588,13635.64
1305,2464.62
150,5125.22
496,4931.65
562,2494.02
951,47462.89
389,4618.08
903,8125.78
396,8522.0
1267,34254.05
630,10085.85
420,46889.26
228,7358.18
398,14988.43
1113,5312.17
490,1748.77
876,26140.36
546,3268.85
835,7160.33
1289,7147.47
867,11576.13
664,27037.91
733,9447.25
576,1665.0
803,38792.69
363,2597.78
561,10923.93
7,7281.51
479,1824.29
1130,8582.3
877,6653.79
1016,2709.24
366,13430.27
360,10043.25
1308,33900.65
362,13844.51
318,7421.19
485,4347.02
773,17748.51
442,1149.4
535,6067.13
1082,5855.9
636,2709.11
935,12233.83
407,8539.67
376,21659.93
206,11743.3
874,8891.14
1137,3176.29
787,1917.32
1238,6985.51
1180,7650.77
417,18608.26
1309,6875.96
476,35147.53
855,1875.34
72,11741.73
235,19444.27
254,41097.16
722,12979.36
271,42856.84
440,4738.27
224,19515.54
884,4877.98
916,21774.32
933,7348.14
511,2498.41
1278,22462.04
1144,9630.4
965,4746.34
406,4185.1
1150,2203.74
387,30284.64
1282,14283.46
210,1980.07
453,1769.53
123,39556.49
14,39611.76
559,1646.43
642,13143.86
76,3947.41
16,10797.34
775,10560.49
1168,4670.64
822,1621.88
942,2217.47
810,9414.92
431,4906.41
265,46151.12
727,16657.72
730,19362.0
1147,2261.57
1320,5425.02
626,6748.59
557,3935.18
446,12731.0
1232,12479.71
